"customer_id","age","credit_score","loan_amount","employment_years","income","default"
426,45,617,18238,24,198988,"Yes"
427,19,766,22426,4,75918,"Yes"
428,67,827,35317,12,79903,"Yes"
429,29,580,45810,11,138738,"Yes"
430,64,759,13508,2,191348,"No"
431,68,575,45440,28,78728,"Yes"
432,70,802,7420,5,94899,"No"
433,23,683,63542,29,48053,"Yes"
434,33,513,50584,28,30127,"Yes"
435,32,550,8177,9,48002,"Yes"
436,36,654,43576,7,68620,"Yes"
437,20,574,78559,28,152128,"Yes"
438,63,735,27927,18,173077,"No"
439,50,774,58231,9,168753,"No"
440,50,776,44213,13,41068,"Yes"
441,65,548,28330,1,99635,"Yes"
442,28,761,63213,2,192135,"No"
443,53,824,59473,19,94791,"No"
444,61,740,26718,26,137114,"No"
445,62,715,73116,7,119260,"No"
446,27,753,66110,30,37352,"Yes"
447,59,643,70590,29,143467,"Yes"
448,41,728,59360,18,44898,"Yes"
449,45,833,17142,4,62258,"Yes"
450,56,626,51117,10,72654,"Yes"
451,35,689,19833,9,160410,"Yes"
452,34,568,71445,3,77891,"Yes"
453,37,619,67119,24,92804,"Yes"
454,26,529,12830,7,33389,"Yes"
455,70,817,24192,25,166954,"No"
456,28,615,18699,22,156097,"Yes"
457,61,567,52781,18,132077,"Yes"
458,25,567,79665,30,158202,"Yes"
459,67,595,53497,7,129329,"Yes"
460,22,591,6961,14,165550,"Yes"
461,46,679,51493,6,190376,"Yes"
462,67,569,8956,19,187621,"Yes"
463,23,797,44961,14,84688,"No"
464,27,775,73715,16,47063,"Yes"
465,43,750,40849,2,177671,"No"
466,26,574,59905,22,97125,"Yes"
467,28,795,8385,27,143540,"No"
468,23,728,59157,11,86482,"No"
469,49,723,38100,12,90987,"No"
470,29,557,45883,17,52347,"Yes"
471,36,582,31259,13,99969,"Yes"
472,44,798,21244,5,161696,"No"
473,49,756,31807,7,163954,"No"
474,44,661,66475,27,184116,"Yes"
475,47,575,33637,16,123965,"Yes"
476,21,566,72938,25,128980,"Yes"
477,41,803,25996,20,42064,"Yes"
478,45,519,58038,10,195590,"Yes"
479,20,755,76393,14,32357,"Yes"
480,63,589,7421,1,171944,"Yes"
481,57,631,58846,8,194847,"Yes"
482,23,503,65641,6,124981,"Yes"
483,53,717,43087,9,160556,"No"
484,59,716,33259,1,126072,"No"
485,65,752,60934,8,153246,"No"
486,47,580,35454,19,74995,"Yes"
487,65,712,36459,14,126317,"No"
488,69,535,8797,10,31793,"Yes"
489,27,644,29481,12,106456,"Yes"
490,42,748,75440,5,180002,"No"
491,55,558,53122,10,38746,"Yes"
492,68,568,45039,14,169117,"Yes"
493,53,720,71241,17,117807,"No"
494,58,636,39147,12,84357,"Yes"
495,42,786,11401,17,41713,"Yes"
496,21,697,57624,5,196922,"Yes"
497,32,796,21293,10,57496,"Yes"
498,69,534,65903,10,81520,"Yes"
499,39,572,30478,23,63772,"Yes"
500,70,804,66052,9,58391,"Yes"
501,66,750,47622,20,113856,"No"
502,41,581,25643,11,83331,"Yes"
503,56,832,10871,30,152730,"No"
504,64,674,60394,15,128812,"Yes"
505,54,592,22155,19,193761,"Yes"
506,63,733,58487,4,59278,"Yes"
507,64,808,59578,17,164881,"No"
508,32,771,71813,23,108102,"No"
509,33,642,28567,8,180447,"Yes"
510,36,846,67125,9,46338,"Yes"
511,25,649,46720,23,176565,"Yes"
512,48,635,10263,19,42582,"Yes"
513,54,820,40320,27,180380,"No"
514,56,713,25229,7,47481,"Yes"
515,69,697,18451,21,91967,"Yes"
516,65,760,63908,21,186956,"No"
517,33,508,14410,20,164370,"Yes"
518,26,786,72376,20,127444,"No"
519,28,566,71807,6,175416,"Yes"
520,60,531,15329,26,38709,"Yes"
521,68,808,51780,18,95517,"No"
522,47,522,72249,8,109762,"Yes"
523,27,581,56441,12,121022,"Yes"
524,51,813,78999,30,168253,"No"
525,55,614,27341,10,185485,"Yes"
526,37,780,41853,6,183971,"No"
527,63,793,31752,30,172453,"No"
528,31,529,72139,21,140115,"Yes"
529,23,665,43442,28,111054,"Yes"
530,35,631,7909,27,118436,"Yes"
531,19,708,32469,6,139995,"No"
532,25,569,24697,13,157356,"Yes"
533,28,653,23058,21,78378,"Yes"
534,38,538,65333,8,199744,"Yes"
535,24,625,22137,17,80094,"Yes"
536,68,730,41932,26,195351,"No"
537,40,830,71347,8,85316,"No"
538,25,648,15453,27,117440,"Yes"
539,27,614,31378,12,198874,"Yes"
540,54,827,27381,12,129152,"No"
541,34,516,53575,24,104801,"Yes"
542,23,849,8641,28,153515,"No"
543,57,833,78983,16,103566,"No"
544,69,634,37899,16,89249,"Yes"
545,23,694,62200,30,39349,"Yes"
546,64,715,54787,23,171756,"No"
547,45,706,15266,1,191705,"No"
548,49,779,53501,23,163202,"No"
549,66,586,27998,14,156722,"Yes"
550,52,545,6547,16,30420,"Yes"
551,45,526,20040,10,177082,"Yes"
552,64,548,55867,29,165280,"Yes"
553,37,635,10007,15,114215,"Yes"
554,18,724,18070,24,65083,"Yes"
555,22,841,45743,27,119742,"No"
556,28,597,14744,7,48438,"Yes"
557,64,576,74288,3,173921,"Yes"
558,37,710,68076,4,31863,"Yes"
559,19,594,60987,15,93522,"Yes"
560,65,519,23156,13,107854,"Yes"
561,68,656,77964,14,173565,"Yes"
562,27,683,29452,19,146966,"Yes"
563,68,745,67284,14,75059,"Yes"
564,66,636,47245,1,69181,"Yes"
565,24,707,39889,6,169100,"No"
566,55,712,61177,17,61153,"Yes"
567,61,724,11186,24,47623,"Yes"
568,53,754,17761,3,37943,"Yes"
569,70,548,7434,3,84118,"Yes"
570,40,541,63788,1,167409,"Yes"
571,68,638,20570,17,52477,"Yes"
572,51,564,74894,18,150395,"Yes"
573,41,702,17439,9,78687,"Yes"
574,21,612,52785,14,189961,"Yes"
575,46,817,54267,15,113316,"No"
576,40,741,63643,16,35508,"Yes"
577,28,722,27596,13,197442,"No"
578,50,513,56892,25,45468,"Yes"
579,68,731,39867,17,126205,"No"
580,67,843,59380,30,56867,"Yes"
581,65,536,41521,9,58977,"Yes"
582,20,592,74263,9,191974,"Yes"
583,50,637,67608,8,77986,"Yes"
584,47,548,74537,8,112916,"Yes"
585,51,551,11382,16,82295,"Yes"
586,19,649,41289,19,154831,"Yes"
587,57,671,53036,12,106251,"Yes"
588,37,754,15190,18,80643,"No"
589,31,766,33520,18,153809,"No"
590,42,773,46673,18,162138,"No"
591,62,626,42097,22,74011,"Yes"
592,24,639,11950,15,190988,"Yes"
593,57,698,22489,25,77558,"Yes"
594,52,673,71236,12,58327,"Yes"
595,48,837,51124,11,60002,"Yes"
596,39,690,68874,1,37150,"Yes"
597,33,804,27505,8,183906,"No"
598,39,825,12119,26,138364,"No"
599,46,529,29567,18,141802,"Yes"
600,50,697,45170,3,95445,"Yes"
601,61,791,70648,17,157027,"No"
602,67,680,27557,7,150360,"Yes"
603,70,656,5205,15,178632,"Yes"
604,48,792,26258,21,136650,"No"
605,63,688,59088,26,124181,"Yes"
606,25,681,29026,13,31544,"Yes"
607,41,682,30011,21,122084,"Yes"
608,47,545,63205,7,120164,"Yes"
609,40,550,64406,9,125963,"Yes"
610,54,531,69089,21,115023,"Yes"
611,49,661,53128,18,78676,"Yes"
612,34,706,34926,25,64207,"Yes"
613,43,765,50373,24,195818,"No"
614,60,824,8338,26,88983,"No"
615,40,760,62309,11,149858,"No"
616,43,682,42977,30,103294,"Yes"
617,53,740,53269,16,168707,"No"
618,62,621,76258,26,63733,"Yes"
619,25,613,45126,1,129187,"Yes"
620,32,629,56216,26,150338,"Yes"
621,53,754,8539,11,123195,"No"
622,62,817,34719,4,43014,"Yes"
623,20,638,21924,12,131909,"Yes"
624,56,819,56034,7,50859,"Yes"
625,50,600,36450,30,189758,"Yes"
626,55,580,5947,12,165959,"Yes"
627,62,737,33413,6,198643,"No"
628,43,598,12873,20,45195,"Yes"
629,45,684,6201,4,55515,"Yes"
630,43,849,34305,1,126913,"No"
631,34,786,11874,6,194893,"No"
632,40,550,77735,21,133893,"Yes"
633,70,725,40303,1,119914,"No"
634,55,516,75527,24,162846,"Yes"
635,27,614,41557,24,103345,"Yes"
636,62,828,22241,5,53085,"Yes"
637,55,817,8837,1,79836,"Yes"
638,58,621,53234,13,88175,"Yes"
639,25,686,43257,4,161965,"Yes"
640,18,685,16798,7,167720,"Yes"
641,33,585,44573,20,142691,"Yes"
642,19,531,39461,14,49039,"Yes"
643,57,601,53696,8,196878,"Yes"
644,31,603,13934,26,129488,"Yes"
645,29,623,78286,14,164678,"Yes"
646,43,628,71810,10,163039,"Yes"
647,25,570,57191,8,188191,"Yes"
648,58,846,21161,4,97850,"No"
649,25,570,50815,19,88912,"Yes"
650,26,535,71429,2,140436,"Yes"
651,69,824,34744,23,76561,"Yes"
652,50,574,21855,9,170613,"Yes"
653,20,782,39255,1,154149,"No"
654,57,541,24348,17,135555,"Yes"
655,19,574,8485,12,142864,"Yes"
656,18,532,67793,16,43701,"Yes"
657,26,605,24130,19,167558,"Yes"
658,24,531,77618,9,169031,"Yes"
659,30,748,73653,25,142537,"No"
660,46,842,29197,8,182159,"No"
661,37,584,66654,16,111977,"Yes"
662,31,799,53961,16,83899,"No"
663,33,689,31350,16,108482,"Yes"
664,24,595,50268,11,42617,"Yes"
665,53,539,35159,23,129289,"Yes"
666,62,578,60791,20,44815,"Yes"
667,29,723,74584,5,123965,"No"
668,42,698,55049,4,38696,"Yes"
669,44,769,37928,10,46534,"Yes"
670,30,803,17640,29,115264,"No"
671,37,588,31686,15,61760,"Yes"
672,27,758,70667,3,86278,"No"
673,47,778,54375,6,77988,"Yes"
674,58,574,13384,20,30599,"Yes"
675,29,816,8017,11,187161,"No"
676,25,622,41181,10,156356,"Yes"
677,24,850,11396,25,126797,"No"
678,32,817,58091,6,63788,"Yes"
679,36,694,57267,12,59541,"Yes"
680,66,754,7959,28,165355,"No"
681,60,687,49156,19,181735,"Yes"
682,56,846,36771,14,54007,"Yes"
683,68,548,25785,14,76896,"Yes"
684,40,844,73496,14,68151,"Yes"
685,52,783,79405,27,44683,"Yes"
686,23,704,20178,19,102114,"No"
687,24,799,5531,25,198623,"No"
688,21,732,69845,15,44871,"Yes"
689,27,806,76224,20,113331,"No"
690,34,530,40525,16,49423,"Yes"
691,65,729,22815,21,70823,"Yes"
692,25,832,67105,9,169139,"No"
693,70,574,69203,11,69743,"Yes"
694,20,684,25577,24,125478,"Yes"
695,61,545,47044,24,80693,"Yes"
696,70,806,21857,25,166051,"No"
697,63,559,60080,5,178371,"Yes"
698,54,817,55785,28,116568,"No"
699,31,810,47045,7,149369,"No"
700,45,613,62524,21,50169,"Yes"
701,23,777,6681,18,150264,"No"
702,26,744,78363,26,109939,"No"
703,50,511,64641,3,187207,"Yes"
704,69,543,69982,2,174461,"Yes"
705,63,816,10820,26,117489,"No"
706,36,719,61134,25,169111,"No"
707,54,676,38126,7,139612,"Yes"
708,51,671,59034,23,153303,"Yes"
709,18,821,38280,8,70078,"Yes"
710,45,664,7355,11,98845,"Yes"
711,69,774,56024,10,110357,"No"
712,47,576,9306,10,143820,"Yes"
713,21,602,31888,4,71167,"Yes"
714,43,593,36233,21,92460,"Yes"
715,28,555,36421,7,100270,"Yes"
716,22,643,74331,1,183235,"Yes"
717,53,607,57349,27,170989,"Yes"
